"Address","Total Shares","Total Pool Percent","ZCL Amount","BTCP Amount"
"t1gRosshVvewnSVft5MeuP79Pt8kcGN7LX6","7898123.68970561","0.12%","34.730145212350614","75.23861614"
"t1MeTCs7JoDmjyEofeuPcq2iATMFFcj4GHY","6961856.275883321","0.12%","33.334425075889605","72.21495900"
"t1RGLwDKWNz8y43TeNk3tZSrtoWWN8mtssX","8745465.96391653","0.11%","32.26209042055801","69.89187699"
"t1WjFzuiDthbPB5mbYMnyW4pXwYvso6571z","8644696.406090267","0.11%","32.12194470974484","69.58826844"
"t1conWcSy8inzCsNoMhqpeSqo8b8cNkpuyT","8254545.965303454","0.11%","32.05149610008896","69.43565013"
"t1Nz6E85LQncCBjbM6HtqLpQSKSahtSyT44","9248947.603438234","0.11%","31.840134689575358","68.97776146"
"t1eQNcaZDf6cE24jaRXZp4Xh9oYCfS2Qs1j","7661702.876379682","0.11%","31.819181023860747","68.93236790"
"t1Y1XkChWjLaq4oS3nxHFg93SFkypAsdo7J","6287065.087202525","0.11%","31.745296374037935","68.77230584"
"t1MdWMyUcM4FZf2xQZJok4Jy2kwuCVfEX2B","8033705.791962376","0.11%","31.476298473909665","68.18955475"
"t1QkpweqcCgnj4CgPvmhPRJU29axV6u2syK","9498113.322383821","0.11%","31.416249931540392","68.05946692"
"t1Z6HDy6PK92ZHii5vjQK7ajJBDrYVyXBvs","6799481.882751328","0.11%","30.97873780522101","67.11165036"
"t1d6osxhVDk4SJmUhR1dM64Bk5NDocxDv9K","9486746.049765749","0.11%","30.631898631711245","66.36026567"
"t1g81XbrktzqzFPY1A1J5gSgaLcwQPZKrE2","8024345.81622621","0.10%","29.353843724962676","63.59151587"
"t1QYYeHmkCAF2ETEZHRdKt5xdferBst7tDA","5853943.259410647","0.10%","29.02693711524482","62.88331264"
"t1cCFarFZhtDPf4Wkg5MyXqJQ5rit2vDF2z","9071673.453565296","0.10%","28.96909535270704","62.75800553"
"t1SznuCGGEExZu3aCc3BdEjAhnoKneMqLP2","6223429.893804965","0.10%","28.95664839424158","62.73104072"
"t1VfeNNAkk2pUQLu9pA29U2w6gHZkatAAgS","6475654.960227373","0.10%","28.61155824999398","61.98344508"
"t1LA47naXVRr1roeQ47KZtxVQddmMxtvwum","10021443.603389","0.10%","28.37570725668778","61.47250272"
"t1UH2HV13hBCYpXUFuEWJkb5SuUNY5EASLW","9879937.636527851","0.10%","28.29428393615541","61.29610905"
"t1XurgdQtS8WnCBTSRgY89KssW55d3FViKB","6269903.773470474","0.10%","28.192418624235486","61.07543030"
"t1V56ze4jaLtzVPG96oCVwVn94y16nDBd23","9200974.798411833","0.10%","28.155918061225062","60.99635629"
"t1do487NyGVNAATG452sHnchcJqFL2KyCyn","6001698.934567345","0.10%","27.594352982393517","59.77979416"
"t1aZcmZ5pGkEL7MJ72Zf9NY8P9WmPQ6dwEo","6538720.0608695075","0.09%","27.302131336945116","59.14673167"
"t1QJTPrPWBGfuU4GDDbDB3NMrACajM1i6hG","6021419.021960879","0.09%","26.94979644613444","58.38344117"
"t1M9Vgf2iQu9PRXirV5qu9xNikQqdcfdEqG","4459780.171283473","0.09%","26.89327041346399","58.26098443"
"t1KjmKhKhSQc6CFLpnSRGgLrgWicbWm2E5v","6117032.162429419","0.09%","26.829032865698153","58.12182163"
"t1c9Gg2Fg9tEeiifjhgnXTDFPmrsGgW3mw6","8606239.979511993","0.09%","26.530002759660114","57.47400944"
"t1enpeHhYWLVBJxQxoyZgVHpoag2JNVx8WA","9266994.582507938","0.09%","26.29505633426603","56.96502672"
"t1Qw1dUzjuWM5y1SMMC1sxRiyc2HUTET4xM","8494961.182583215","0.09%","26.289467455482743","56.95291910"
"t1dHxW1bmxBx1Tgd7mwaAs9UdYX2YZxTHUk","8560856.488023099","0.09%","25.95188928570782","56.22159724"
"t1aFG4nmtFHj8vd652r9pXLhQ65uDjhxj12","7747885.83500918","0.09%","25.29655170570851","54.80188844"
"t3dkBBg4FFJ264sZbk3nTGGKXvKyk3YkFE2","5764120.881550719","0.09%","25.255164085513712","54.71222722"
"t1LiDmF3m2J58VqVon6Xr8XyCj7AbsVpmdu","6746483.20506022","0.09%","24.99750240414508","54.15403467"
"t1LgS862tA3RNa2rRC9TJr5HX5hZ7atU4kY","6750430.489873923","0.09%","24.679709100272284","53.46557431"
"t1RoA7s8P5GRW9C3R66yVV63wUDuSAgfFQr","5998258.686263223","0.08%","24.19437803282521","52.41416385"
"t1gNfyuTnSWHBGfQf81qRgqaCDzhC9p11vu","7481315.897815432","0.08%","23.896591969808977","51.76904673"
"t1Vg6pjqyH4vhga4ZH4uwGgj3Xyp9iTKo8Z","6680806.843560755","0.08%","23.83336067377959","51.63206385"
"t1YgLRnnjEH9YCxhUMkBSTArsRBLy8gif4z","7941401.744262816","0.08%","23.600589344943657","51.12779321"
"t1UtEjyC3d1bctk42Ww3PpCNdoGmxKzbe2W","5262331.684118825","0.08%","23.373434274151684","50.63568950"
"t1TaMrVfhTPjSoLpzLPy4C2keNMQxFhqK6s","4816001.286668676","0.08%","23.02822643879709","49.88783891"
"t1PNhcafo93gGvKpweNZn5LUMWhvuGSmiaz","5228098.278952635","0.08%","23.018740645765106","49.86728909"
"t1Z7WJzABzJAY8i52djQFLc17K6wkjWkaDp","6720587.732576063","0.08%","22.98767166789381","49.79998195"
"t1a4dQAAuoZowbZqZyBRdJErKLMG5aPKsyH","6510499.7382197995","0.08%","22.63986646553044","49.04650447"
"t1cUwjh5p2UnJWM5dceh3GZpbBcqvAG8mD3","5164823.23425658","0.08%","22.5724486911529","48.90045210"
"t1SGeevix6svfXX7hcbw2nu4v9nVjrRPNTo","6837237.326248395","0.08%","22.406333474081624","48.54058378"
"t1b43ViRY1ppz3zNviSWTsBVFGy1DM9GeyK","5612698.87316919","0.08%","22.237326450612038","48.17445072"
"t1KYvuH1pMNKV5ooNB3N9FWPS2Qt4ip2iYU","5612363.861392042","0.08%","21.9218667420299","47.49104580"
"t1VJeKq2YewAmPXZ4nMrdivWtRi9WGZfF7Y","5652556.272980814","0.08%","21.64160099441709","46.88388430"
"t1g7bELEHffMuZpjXdDWieqYsYX5stPYr4i","5871415.798913558","0.07%","21.602491199624392","46.79915771"
"t1XSQzJxPeUfpA8Syp5zUy4KCBd2D6yR4gv","4966904.609402639","0.07%","21.580997131468244","46.75259344"
"t1VxCf65pNu1ojRp6BJiDpgM7Gm2Jpn4oWf","4114978.786778354","0.07%","21.554626389071665","46.69546445"
"t1Vb6R5fjeGD5MzkotBVd3Mo4LimaCCT3Xf","5914625.495043573","0.07%","21.492673773542915","46.56125168"
"t1agULb47ckD4mSiCmvHT7iaCwFL7gBjp1L","2893522.192363551","0.07%","21.300761025052314","46.14549615"
"t1U2fBumin1gjgc9dw13ZCRCQFaufPGvx3L","5953195.385143441","0.07%","21.110827223404886","45.73402778"
"t1Y9fdHE57bXvHLDqh5w1uyXZibFJ3XPoXz","4917838.39593559","0.07%","20.95166289061616","45.38921770"
"t1PivW3M8GDJPJEbfZMrH8fKhbXJo9QCx7X","5044173.788548048","0.07%","20.94964068136843","45.38483683"
"t1XRfXdkQzDGMeHPPiYiBrMKw1upGrwhKJb","5264349.001982037","0.07%","20.72119029680296","44.88992699"
"t1WNsLh9Xf2kza3ZDjfabNXRtHAQsSyBWjW","6531322.742406107","0.07%","20.696994156287925","44.83750900"
"t1LLn7C9kfh1cLMzAnLV782CNutLF2yt94S","5291651.527937002","0.07%","20.537711731885466","44.49244309"
"t1RGiCirfH6Qz8U9sgjLfHpZjDzQSpyUkgY","5612962.914516631","0.07%","20.32481392299849","44.03122600"
"t1XdgQQ31FLqMaJw1Xngfq6eHzXWuUyw7Si","5242485.858899406","0.07%","19.96258041363324","43.24649136"
"t1MKJzTWsy4ZA7QcJ8Ngikc5w6RcBanxW6p","4311948.494396444","0.07%","19.93844611339663","43.19420735"
"t1LerW1Krrc4wYJRoZSg5toFTRBDdcCFcX9","4535800.415289119","0.07%","19.92004957293077","43.15435349"
"t1T2iB3ZtXwKM6mWzNAemWiDYtTsxFeWMXD","5364024.13401523","0.07%","19.74565266440035","42.77654390"
"t1KBLGLwEWXkU8qy6z2kF75VWFCJprc7hNT","5009601.688797072","0.07%","19.64486075984503","42.55819055"
